query,stakeholders,roles,topics,concepts,rounds,time (ms)
mongolian,3,0,2,1,10000,11127
tiramisu,3,0,1,1,1,3111
tiramisu,3,0,3,3,1,696
tiramisu,3,0,1,50,300,4634
mongolian,3,0,1,10,100,1061
tiramisu,3,0,2,3,100,110
tiramisu,3,0,2,3,300,308
mongolian,3,0,3,50,30,2715
mongolian,3,0,3,3,100,165
tiramisu,3,0,2,3,300,1747
tiramisu,3,0,3,10,1,135
tiramisu,3,0,3,3,3000,2978
mongolian,3,0,2,1,1,64
mongolian,3,0,2,10,3000,34618
mongolian,3,0,2,50,10000,71772
mongolian,3,0,2,50,1,144836
mongolian,3,0,2,3,1,8940
tiramisu,3,0,2,3,3000,3337
tiramisu,3,0,2,50,1,1859
tiramisu,3,0,1,10,10000,104643
tiramisu,3,0,3,10,3000,37819
tiramisu,3,0,1,1,300,122
mongolian,3,0,2,1,100,3287
tiramisu,3,0,3,1,1,128
mongolian,3,0,2,50,1,2661
tiramisu,3,0,3,50,10000,107967
tiramisu,3,0,2,3,100,115
tiramisu,3,0,3,50,3000,46415
tiramisu,3,0,1,3,1,93
tiramisu,3,0,3,50,300,13583
mongolian,3,0,3,10,1,29311
tiramisu,3,0,2,10,10000,115019
mongolian,3,0,2,10,100,218
tiramisu,3,0,2,10,3000,9420
tiramisu,3,0,1,50,100,1517
tiramisu,3,0,2,1,10000,10376
mongolian,3,0,1,1,1,305
tiramisu,3,0,2,10,3000,3094
tiramisu,3,0,2,1,1,42
tiramisu,3,0,3,50,3000,5757
tiramisu,3,0,1,3,1,68
mongolian,3,0,1,10,300,1623
tiramisu,3,0,2,3,300,1741
tiramisu,3,0,3,50,30,1890
tiramisu,3,0,3,3,10000,909660
mongolian,3,0,3,10,1,1264
tiramisu,3,0,2,10,1,109
tiramisu,3,0,3,1,30,3309
tiramisu,3,0,1,1,100,75
tiramisu,3,0,3,3,10000,10910
mongolian,3,0,2,1,100,3494
mongolian,3,0,1,10,10000,7583
tiramisu,3,0,3,3,300,364
mongolian,3,0,2,1,10000,6957
tiramisu,3,0,1,1,100,3204
